schoolID,school_name,quotaTotal,school_type
KTSS001,Kwun Tong Govt.,64,GOV
KTSS008,St. Paul's Aided,62,AID
KTSS005,PLK Vic. Aided,71,AID
KTSS012,HKMA Direct,50,DSS
KTSS003,Munsang College,83,DSS
KTSS001,Kwun Tong Govt.,59,GOV
KTSS010,Carmel Secondary,66,AID
KTSS004,Maryknoll Aided,58,AID
KTSS015,CCC Kei Wan,72,AID
KTSS007,S.K.H. Lam Woo,60,AID
KTSS006,Tak Sun Secondary,55,AID
KTSS009,Chan Sui Ki,64,AID
KTSS011,Po Leung Kuk,61,AID
KTSS014,Good Hope School,67,DSS
KTSS016,Lok Sin Tong,52,AID
KTSS013,United Christian,70,AID
KTSS017,Ngan Po Ling,63,AID
KTSS018,Shun Lee Catholic,57,AID
KTSS019,Christian Alliance,69,AID
KTSS020,Kowloon True Light,48,AID
KTSS002,St. Joseph's College,49,AID
